Data,Bebidas_Cantidad,Bebidas_Ventas,Comida_Cantidad,Comida_Ventas,Otros_Cantitdad,Otros_Ventas,Total_Cantidad,Total_Ventas,,,
24/05/2019,253,544.25,172,534.45,20,55.30,445,1134.00,,,
25/05/2019,401,902.80,244,742.90,68,52.20,713,1697.90,,,
26/05/2019,409,914.10,299,965.50,46,38.10,754,1917.70,,,
27/05/2019,274,612.45,170,559.15,25,31.60,469,1203.20,,,
28/05/2019,372,738.45,183,606.65,47,31.60,602,1376.70,,,
29/05/2019,292,641.90,191,622.30,37,20.60,520,1284.80,,,
30/05/2019,324,656.40,213,697.65,32,68.00,569,1422.05,,,
31/05/2019,300,619.25,210,706.60,35,135.80,545,1461.65,,,
01/06/2019,356,763.65,271,829.60,43,71.10,670,1664.35,,,
02/06/2019,292,667.45,183,627.90,21,83.80,496,1379.15,,,
03/06/2019,274,602.60,152,487.30,17,44.50,443,1134.40,,,
04/06/2019,241,525.50,144,479.75,20,60.10,405,1065.35,,,
05/06/2019,256,554.40,193,619.30,37,80.00,486,1253.70,,,
06/06/2019,275,589.20,162,495.90,29,52.20,466,1137.30,,,
07/06/2019,350,749.20,194,650.70,28,17.50,572,1417.40,,,
08/06/2019,505,1077.45,301,1006.60,111,143.90,917,2227.95,,,
09/06/2019,434,938.40,293,993.10,29,71.10,756,2002.60,,,
10/06/2019,328,686.30,187,615.70,33,49.10,548,1351.10,,,
11/06/2019,354,751.20,180,548.00,14,23.70,548,1322.90,,,
12/06/2019,310,627.15,193,629.00,24,52.20,527,1308.35,,,
13/06/2019,280,558.00,162,534.30,24,63.20,466,1155.50,,,
14/06/2019,333,718.15,223,764.40,37,47.40,593,1529.95,,,
15/06/2019,444,948.25,247,837.20,62,49.10,753,1834.55,,,
16/06/2019,376,815.20,243,774.25,22,25.40,641,1614.85,,,
17/06/2019,296,605.45,137,458.20,37,69.70,470,1133.35,,,
18/06/2019,267,553.65,138,431.90,22,12.70,427,998.25,,,
19/06/2019,318,683.75,176,614.40,56,39.50,550,1337.65,,,
20/06/2019,281,580.50,189,585.00,13,36.40,483,1201.90,,,
21/06/2019,298,641.20,167,535.80,18,47.40,483,1224.40,,,
22/06/2019,487,997.35,216,668.00,48,75.90,751,1741.25,,,
23/06/2019,284,614.70,148,470.35,19,39.50,451,1124.55,,,
24/06/2019,328,691.70,214,715.40,27,28.50,569,1435.60,,,
25/06/2019,309,628.90,159,529.30,20,31.60,488,1189.80,,,
26/06/2019,287,600.70,148,466.20,10,64.90,445,1131.80,,,
27/06/2019,276,624.17,125,412.00,20,31.60,421,1067.77,,,
28/06/2019,289,611.95,152,479.10,28,99.60,469,1190.65,,,
29/06/2019,311,694.62,222,709.70,44,162.80,577,1567.12,,,
30/06/2019,277,613.65,186,680.20,22,86.90,485,1380.75,,,
01/07/2019,303,660.10,198,685.80,27,60.10,528,1406.00,,,
02/07/2019,247,508.05,150,481.70,20,39.50,417,1029.25,,,
03/07/2019,289,626.70,138,474.60,15,31.60,442,1132.90,,,
04/07/2019,255,532.51,146,470.71,15,31.60,416,1034.82,,,
05/07/2019,223,461.05,151,463.00,21,39.50,395,963.55,,,
